"doi","folder","title","object","object_label","type","engine","success","run_ok","substantive_ok","seconds","runtime_category","timed_out","skipped","timeout_seconds","error_snippet","progress_category","last_checked_at","last_success_at","source"
"10.1017/s0003055421001143","","Sovereignty, Substance, and Public Support for European Courts' Human Rights Rulings","fig_4b","Figure 4b — Difference between case outcome effect and sovereignty effect","figure","r",TRUE,TRUE,,2.16999999999985,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055421001143","","Sovereignty, Substance, and Public Support for European Courts' Human Rights Rulings","fig_5a","Figure 5a — H2 interactions by sympathy toward applicant","figure","r",TRUE,TRUE,,5.94000000000005,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055421001143","","Sovereignty, Substance, and Public Support for European Courts' Human Rights Rulings","fig_5b","Figure 5b — Difference in outcome effect between sympathetic and unsympathetic respondents","figure","r",TRUE,TRUE,,3.85000000000014,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055421001143","","Sovereignty, Substance, and Public Support for European Courts' Human Rights Rulings","fig_6","Figure 6 — Heterogeneity by nationalism","figure","r",TRUE,TRUE,,12.6899999999998,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055421001143","","Sovereignty, Substance, and Public Support for European Courts' Human Rights Rulings","fig_7","Figure 7 — Heterogeneity by authoritarianism","figure","r",TRUE,TRUE,,12.25,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055421001143","","Sovereignty, Substance, and Public Support for European Courts' Human Rights Rulings","tab_3a","Table 3a — Summary statistics, Deportation vignette","table","r",TRUE,TRUE,,1.64999999999986,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055421001143","","Sovereignty, Substance, and Public Support for European Courts' Human Rights Rulings","tab_3b","Table 3b — Summary statistics, Quran burning and Eviction vignettes","table","r",TRUE,TRUE,,1.36000000000013,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055422000284","","Preventing Rebel Resurgence after Civil War: A Field Experiment in Security and Justice Provision in Rural Colombia","tab_1","Table 1","table","stata",TRUE,TRUE,TRUE,5.11000000000013,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055426101622","","Beyond Belief Change: The Persuasive Returns of Targeting Attitude-Relevant Beliefs","tab_1","Table 1","table","r",TRUE,TRUE,,15.1800000000001,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055426101622","","Beyond Belief Change: The Persuasive Returns of Targeting Attitude-Relevant Beliefs","tab_3","Table 3","table","r",TRUE,TRUE,TRUE,4.19000000000005,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055426101749","","Portraits of Power: Facial Appearance and the Tacit Domain of Political Selection in China","fig_2","Figure 2","figure","python",TRUE,TRUE,,28.6600000000001,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055426101749","","Portraits of Power: Facial Appearance and the Tacit Domain of Political Selection in China","fig_4","Figure 4","figure","r",TRUE,TRUE,,4.75,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055426101749","","Portraits of Power: Facial Appearance and the Tacit Domain of Political Selection in China","fig_5","Figure 5","figure","r",TRUE,TRUE,,3.52999999999997,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055426101749","","Portraits of Power: Facial Appearance and the Tacit Domain of Political Selection in China","tab_1","Table 1","table","stata",TRUE,TRUE,,8.6099999999999,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055426101749","","Portraits of Power: Facial Appearance and the Tacit Domain of Political Selection in China","tab_2","Table 2","table","stata",TRUE,TRUE,,9,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1017/s0003055426101749","","Portraits of Power: Facial Appearance and the Tacit Domain of Political Selection in China","tab_3","Table 3","table","stata",TRUE,TRUE,,8.71000000000004,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1038/s41591-021-01454-y","","COVID-19 vaccine acceptance and hesitancy in low- and middle-income countries","ext_fig_1","Extended Data Fig. 1","figure","r",TRUE,TRUE,,9.2800000000002,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1038/s41591-021-01454-y","","COVID-19 vaccine acceptance and hesitancy in low- and middle-income countries","ext_fig_2","Extended Data Fig. 2","figure","r",TRUE,TRUE,,42.05,"medium",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1038/s41591-021-01454-y","","COVID-19 vaccine acceptance and hesitancy in low- and middle-income countries","fig_1","Fig. 1","figure","r",TRUE,TRUE,,5.5,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1038/s41591-021-01454-y","","COVID-19 vaccine acceptance and hesitancy in low- and middle-income countries","fig_2","Fig. 2","figure","r",TRUE,TRUE,,4.52999999999997,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1038/s41591-021-01454-y","","COVID-19 vaccine acceptance and hesitancy in low- and middle-income countries","fig_3","Fig. 3","figure","r",TRUE,TRUE,,8.24000000000001,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1038/s41591-021-01454-y","","COVID-19 vaccine acceptance and hesitancy in low- and middle-income countries","tab_2","Table 2","table","r",TRUE,TRUE,TRUE,0.3900000000001,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1177/00491241211036161","","Bounding Causes of Effects With Mediators","fig_1","Figure 1","figure","r",TRUE,TRUE,,0.200000000000045,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.20240673","","Ideological Alignment and Evidence-Based Policy Adoption","fig_2","Figure 2","figure","stata",TRUE,TRUE,,7.70000000000005,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.20240673","","Ideological Alignment and Evidence-Based Policy Adoption","tab_1","Table 1","table","stata",TRUE,TRUE,,8.99000000000001,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.20240673","","Ideological Alignment and Evidence-Based Policy Adoption","tab_2","Table 2","table","stata",TRUE,TRUE,,5.47000000000003,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.20240673","","Ideological Alignment and Evidence-Based Policy Adoption","tab_3","Table 3","table","stata",TRUE,TRUE,,5.25,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.20240673","","Ideological Alignment and Evidence-Based Policy Adoption","tab_4","Table 4","table","stata",TRUE,TRUE,,5.16000000000008,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.20240673","","Ideological Alignment and Evidence-Based Policy Adoption","tab_h1","Table H.1","table","stata",,,,,,FALSE,TRUE,180,"Table H.1 not available because of proprietary data","other","2026-07-30T07:15:39Z",,"audit"
"10.1257/aer.20250166","","A Welfare Analysis of Policies Impacting Climate Change","fig_1","Figure 1","figure","stata",FALSE,FALSE,,180.18,"medium",TRUE,FALSE,180,"Timed out after 180 seconds (audit cap; timeout_seconds: 180) | ! Native call to `processx_wait` failed | Caused by error in `chain_clean_call(...)`: | ! reached elapsed time limit","timed_out","2026-07-30T07:15:39Z","2026-07-30T06:03:44Z","audit"
"10.1257/aer.20250166","","A Welfare Analysis of Policies Impacting Climate Change","fig_2","Figure 2","figure","stata",FALSE,FALSE,,180.31,"medium",TRUE,FALSE,180,"Timed out after 180 seconds (audit cap; timeout_seconds: 180) | ! Native call to `processx_wait` failed | Caused by error in `chain_clean_call(...)`: | ! reached elapsed time limit","timed_out","2026-07-30T07:15:39Z","2026-07-30T05:18:56Z","audit"
"10.1257/aer.20250166","","A Welfare Analysis of Policies Impacting Climate Change","fig_3","Figure 3","figure","stata",FALSE,FALSE,,180.06,"medium",TRUE,FALSE,180,"Timed out after 180 seconds (audit cap; timeout_seconds: 180) | ! Native call to `processx_wait` failed | Caused by error in `chain_clean_call(...)`: | ! reached elapsed time limit","timed_out","2026-07-30T07:15:39Z","2026-07-30T05:18:56Z","audit"
"10.1257/aer.20250166","","A Welfare Analysis of Policies Impacting Climate Change","fig_4","Figure 4","figure","stata",TRUE,TRUE,,8.56999999999994,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.20250166","","A Welfare Analysis of Policies Impacting Climate Change","fig_5","Figure 5","figure","stata",FALSE,FALSE,,180.05,"medium",TRUE,FALSE,180,"Timed out after 180 seconds (audit cap; timeout_seconds: 180) | ! Native call to `processx_wait` failed | Caused by error in `chain_clean_call(...)`: | ! reached elapsed time limit","timed_out","2026-07-30T07:15:39Z","2026-07-30T05:18:56Z","audit"
"10.1257/aer.20250166","","A Welfare Analysis of Policies Impacting Climate Change","fig_6","Figure 6","figure","stata",FALSE,FALSE,,180.13,"medium",TRUE,FALSE,180,"Timed out after 180 seconds (audit cap; timeout_seconds: 180) | ! Native call to `processx_wait` failed | Caused by error in `chain_clean_call(...)`: | ! reached elapsed time limit","timed_out","2026-07-30T07:15:39Z","2026-07-30T05:18:56Z","audit"
"10.1257/aer.20250166","","A Welfare Analysis of Policies Impacting Climate Change","fig_7","Figure 7","figure","stata",TRUE,TRUE,,6.55999999999995,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.20250166","","A Welfare Analysis of Policies Impacting Climate Change","fig_8","Figure 8","figure","stata",TRUE,TRUE,,6.02999999999997,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.20250166","","A Welfare Analysis of Policies Impacting Climate Change","tab_1","Table 1","table","stata",FALSE,FALSE,,180.11,"medium",TRUE,FALSE,180,"Timed out after 180 seconds (audit cap; timeout_seconds: 180) | ! Native call to `processx_wait` failed | Caused by error in `chain_clean_call(...)`: | ! reached elapsed time limit","timed_out","2026-07-30T07:15:39Z","2026-07-30T05:24:54Z","audit"
"10.1257/aer.20250166","","A Welfare Analysis of Policies Impacting Climate Change","tab_2","Table 2","table","stata",FALSE,FALSE,,180.17,"medium",TRUE,FALSE,180,"Timed out after 180 seconds (audit cap; timeout_seconds: 180) | ! Native call to `processx_wait` failed | Caused by error in `chain_clean_call(...)`: | ! reached elapsed time limit","timed_out","2026-07-30T07:15:39Z","2026-07-30T05:30:35Z","audit"
"10.1257/aer.91.5.1369","","The Colonial Origins of Comparative Development","tab_1","Table 1","table","r",TRUE,TRUE,,0.990000000000009,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.91.5.1369","","The Colonial Origins of Comparative Development","tab_1_stata","Table 1","table","stata",TRUE,TRUE,,1.87999999999988,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.91.5.1369","","The Colonial Origins of Comparative Development","tab_2","Table 2","table","r",TRUE,TRUE,,0.130000000000109,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.91.5.1369","","The Colonial Origins of Comparative Development","tab_2_stata","Table 2","table","stata",TRUE,TRUE,,2.6099999999999,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.91.5.1369","","The Colonial Origins of Comparative Development","tab_3","Table 3","table","r",TRUE,TRUE,,0.1400000000001,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.91.5.1369","","The Colonial Origins of Comparative Development","tab_3_stata","Table 3","table","stata",TRUE,TRUE,,2.75,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.91.5.1369","","The Colonial Origins of Comparative Development","tab_4","Table 4","table","r",TRUE,TRUE,,0.200000000000045,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.91.5.1369","","The Colonial Origins of Comparative Development","tab_4_stata","Table 4","table","stata",TRUE,TRUE,,3,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.91.5.1369","","The Colonial Origins of Comparative Development","tab_5","Table 5","table","r",TRUE,TRUE,,0.210000000000036,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.91.5.1369","","The Colonial Origins of Comparative Development","tab_5_stata","Table 5","table","stata",TRUE,TRUE,,2.90999999999985,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.91.5.1369","","The Colonial Origins of Comparative Development","tab_6","Table 6","table","r",TRUE,TRUE,,0.200000000000045,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.91.5.1369","","The Colonial Origins of Comparative Development","tab_6_stata","Table 6","table","stata",TRUE,TRUE,,2.98000000000002,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.91.5.1369","","The Colonial Origins of Comparative Development","tab_7","Table 7","table","r",TRUE,TRUE,,0.190000000000055,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.91.5.1369","","The Colonial Origins of Comparative Development","tab_7_stata","Table 7","table","stata",TRUE,TRUE,,2.97000000000003,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.91.5.1369","","The Colonial Origins of Comparative Development","tab_8","Table 8","table","r",TRUE,TRUE,,0.3599999999999,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1257/aer.91.5.1369","","The Colonial Origins of Comparative Development","tab_8_stata","Table 8","table","stata",TRUE,TRUE,,3.5300000000002,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1371/journal.pone.0278337","","Public support for global vaccine sharing in the COVID-19 pandemic: Evidence from Germany","fig_1","Figure 1","figure","r",TRUE,TRUE,,5.25,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1371/journal.pone.0278337","","Public support for global vaccine sharing in the COVID-19 pandemic: Evidence from Germany","fig_2","Figure 2","figure","r",TRUE,TRUE,,10.3800000000001,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1371/journal.pone.0278337","","Public support for global vaccine sharing in the COVID-19 pandemic: Evidence from Germany","fig_3","Figure 3","figure","r",TRUE,TRUE,,1.4699999999998,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1371/journal.pone.0278337","","Public support for global vaccine sharing in the COVID-19 pandemic: Evidence from Germany","fig_4","Figure 4","figure","r",TRUE,TRUE,,1.41000000000008,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1371/journal.pone.0278337","","Public support for global vaccine sharing in the COVID-19 pandemic: Evidence from Germany","fig_5","Figure 5","figure","r",TRUE,TRUE,,2,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1371/journal.pone.0278337","","Public support for global vaccine sharing in the COVID-19 pandemic: Evidence from Germany","fig_6","Figure 6","figure","r",TRUE,TRUE,,2.78999999999996,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1371/journal.pone.0278337","","Public support for global vaccine sharing in the COVID-19 pandemic: Evidence from Germany","fig_7","Figure 7","figure","r",TRUE,TRUE,,4.51999999999998,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1371/journal.pone.0278337","","Public support for global vaccine sharing in the COVID-19 pandemic: Evidence from Germany","fig_8","Figure 8","figure","r",TRUE,TRUE,,5.8900000000001,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1371/journal.pone.0278337","","Public support for global vaccine sharing in the COVID-19 pandemic: Evidence from Germany","tab_1","Table 1","table","r",TRUE,TRUE,,4.00999999999999,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1371/journal.pone.0278337","","Public support for global vaccine sharing in the COVID-19 pandemic: Evidence from Germany","tab_2","Table 2","table","r",TRUE,TRUE,,5.1099999999999,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","fig_1","Figure 1","figure","stata",TRUE,TRUE,,5.44999999999982,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","fig_1_panel_b","Figure 1","figure","stata",TRUE,TRUE,,5.3900000000001,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","fig_2_panel_a","Figure 2","figure","stata",TRUE,TRUE,,6.02999999999997,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","fig_2_panel_b","Figure 2","figure","stata",TRUE,TRUE,,6,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","fig_3_panel_a","Figure 3","figure","stata",TRUE,TRUE,,4.8900000000001,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","fig_3_panel_b","Figure 3","figure","stata",TRUE,TRUE,,5.16000000000008,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","fig_4_panel_a","Figure 4","figure","stata",TRUE,TRUE,,5.15999999999985,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","fig_4_panel_b","Figure 4","figure","stata",TRUE,TRUE,,5.11000000000013,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","fig_A_1_panel_a","Figure A.1","figure","stata",TRUE,TRUE,,6.37000000000012,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","fig_A_1_panel_b","Figure A.1","figure","stata",TRUE,TRUE,,6.33999999999992,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","fig_A_2","Figure A.2","figure","stata",TRUE,TRUE,,5.30999999999995,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","tab_1","Table 1","table","stata",TRUE,TRUE,,22.54,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","tab_2","Table 2","table","stata",TRUE,TRUE,,13.5,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","tab_3","Table 3","table","stata",TRUE,TRUE,,10.74,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","tab_A_1","Table A.1","table","stata",TRUE,TRUE,,21.52,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","tab_A_2","Table A.2","table","stata",TRUE,TRUE,,21.6400000000001,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","tab_A_3","Table A.3","table","stata",TRUE,TRUE,,20.8599999999999,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","tab_A_4","Table A.4","table","stata",TRUE,TRUE,,20.5600000000002,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"10.1596/1813-9450-10626","","Migration, Families, and Counterfactual Families","tab_A_5","Table A.5","table","stata",TRUE,TRUE,,20.6900000000001,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"rep-10.1017-S0003055403000534--alt-1","","Minimal reanalysis template repo","tab_1","Table 1","table","r",TRUE,TRUE,,0.2199999999998,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
"rep-template","","Minimal folder-backed template study","tab_1","Simple table","table","r",TRUE,TRUE,TRUE,0.0699999999999363,"short",FALSE,FALSE,180,"","replicating","2026-07-30T07:15:39Z","2026-07-30T07:15:39Z","audit"
